Hora de inicio,Número de ordeño,Duración (mm:ss),Producción (kg),Intervalo de ordeño (hh:mm),Duracion de Incremento,Duracion de Decremento,Tiempo de Incremento,Tiempo de Decremento,Ubre,Pezón,Destino Leche,Razón de la desviación,Programa de lavado,MS,Usuario,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario,Num Lactacion
08/01/2025 19:13,4,06:13,7.97,07:31,1.61,1.82,2.44,2.1,0,,Tanque,,,VMS 1,,Control de Gest,02/11/2028 00:00,-,User1,VACIA DE 34 POST INSEM,1
09/01/2025 08:51,1,05:44,16.78,13:31,3.42,3.83,5.21,4.32,0,,Tanque,,,VMS 1,,Cambio tabla ali,02/11/2015 00:00,primerizas-DEL -> Primerizas- ProduccionLeche,Admin,,1
09/01/2025 21:21,2,06:29,16.09,12:25,3.34,3.7,5,4.05,0,,Tanque,,,VMS 1,,Cambio de grup,02/11/2012 00:00,"1, VMS 1 -> 2, VMS 2",User1,,1
10/01/2025 14:50,1,08:37,23.52,17:21,4.68,5.19,7.61,6.04,0,,Tanque,,,VMS 1,,Inseminación,02/10/2025 00:00,"Artificial Insemination; 8403203292278; GRANADA;
Unknown Brand; Roma",Roma,m.lsexado,1
11/01/2025 00:31,1,05:31,11.92,09:32,2.48,2.6,3.78,3.06,0,,Tanque,,,VMS 1,,Celo,02/10/2025 00:00,Herd Navigator,Roma,,1
11/01/2025 07:32,2,04:44,9.7,06:56,1.99,2.12,3,2.59,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/08/2015 00:00,Dns: ALTA; Loc.: DD; Trat: ; Med:,User1,,1
11/01/2025 18:23,3,05:46,15.16,10:45,2.99,3.31,4.87,3.99,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/08/2008 00:00,Dns: Limpiando; Loc.: DD; Trat: ; Med:,User1,,1
12/01/2025 03:08,1,05:23,11.75,08:39,2.3,2.66,3.69,3.1,0,,Tanque,,,VMS 1,,Invitación Visita,02/08/2008 00:00,Vacas frescas,DR  RAFA (,,1
12/01/2025 12:54,2,06:24,14.88,09:40,2.9,3.37,4.7,3.91,0,,Tanque,,,VMS 1,,Cambio de grup,02/08/2001 00:00,"3, VMS 3 -> 1, VMS 1",User1,,1
12/01/2025 21:28,3,05:33,13.72,08:26,2.73,3.09,4.32,3.58,0,,Tanque,,,VMS 1,,Invitación Visita,02/08/2001 00:00,Vacas frescas,DR  RAFA (,,1
13/01/2025 10:17,1,06:21,20.61,12:43,4.24,4.61,6.46,5.3,0,,Tanque,,,VMS 1,,Cambio tabla ali,02/07/2028 00:00,None -> primerizas-DEL,Admin,,1
13/01/2025 17:21,2,04:39,10.76,06:57,2.17,2.46,3.34,2.79,0,,Tanque,,,VMS 1,,Cambio de grup,02/07/2027 00:00,"20, RETO -> 3, VMS 3",DelproClien,,1
14/01/2025 07:56,1,06:54,21.42,14:30,4.57,4.51,6.96,5.38,0,,Tanque,,,VMS 1,,Parto,02/07/2027 00:00,Normal; 91574,UnknownBr,atendio adan,1
15/01/2025 05:19,1,10:45,11.93,21:16,4.8,0,7.13,0,0,,Tanque,,,VMS 1,,Cambio ID Tran,02/07/2011 00:00,-> 982000434159586,,,0
15/01/2025 19:14,2,07:31,19.48,13:44,3.44,5.04,5.2,5.8,0,DD,Tanque,,,VMS 1,,Diagnósticos/Tr,02/07/2011 00:00,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med:",User1,,0
16/01/2025 01:25,1,04:38,4.82,06:03,1.29,0.84,1.97,0.72,1,,Tanque,,,VMS 1,,Condición corpo,02/07/2011 00:00,Condición corporal: 3.75 - DDUP: 0,User1,,0
16/01/2025 12:56,2,05:47,12.59,11:26,3.08,2,5.1,2.41,0,,Tanque,,,VMS 1,,Cambio de grup,02/07/2011 00:00,"100, SECAS -> 20, RETO",User1,,0
16/01/2025 18:11,3,04:13,6.07,05:09,1.46,1.1,2.2,1.31,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/07/2011 00:00,"Dns: VACUNA; Loc.: DD; Trat:
starvacc; Med: STARVAC 1 d 1X2ml Intramuscular",User1,,0
17/01/2025 00:43,1,04:51,9.48,06:27,2.09,1.99,3.25,2.15,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/07/2011 00:00,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,96603,0
17/01/2025 09:39,2,05:41,14.24,08:50,3.04,3.19,4.61,3.4,0,,Tanque,,,VMS 1,,Cambio de grup,02/06/2001 00:00,"106, BECERRAS/NOVILLAS -> 100, SECAS",User1,,0
17/01/2025 15:51,3,05:08,9.39,06:07,2,2.08,3.02,2.29,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/06/2001 00:00,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med:,User1,,0
18/01/2025 01:01,1,05:34,14.76,09:04,3.2,3.24,4.73,3.59,0,,Tanque,,,VMS 1,,Control de Gest,02/03/2028 00:00,+,User1,,0
18/01/2025 11:57,2,05:27,15.56,10:50,3.24,3.52,4.91,3.89,0,,Tanque,,,VMS 1,,Invitación Visita,02/03/2028 00:00,Reconfirmacion 2 (150-160 dias),DR  RAFA (,,0
18/01/2025 21:50,3,05:23,12.32,09:47,2.54,2.7,3.98,3.1,0,,Tanque,,,VMS 1,,Control de Gest,02/02/2001 00:00,+,User1,,0
19/01/2025 03:50,1,05:05,7.11,05:55,2.07,2.01,3.03,0,0,,Tanque,,,VMS 1,,Invitación Visita,02/02/2001 00:00,Reconfirmacion 1 (90-110 dias),DR  RAFA (,,0
19/01/2025 10:40,2,06:04,12.85,06:44,2.17,2.39,3.45,4.84,0,,Tanque,,,VMS 1,,Control de Gest,02/12/2007 00:00,+,User1,,0
19/01/2025 15:49,3,04:08,6.92,05:02,1.39,1.52,2.23,1.78,0,,Tanque,,,VMS 1,,Peso,02/12/2006 00:00,450 kg,DelproClien,Talla: 142 cm,0
20/01/2025 02:58,1,06:16,17.16,11:05,3.63,3.8,5.58,4.15,0,,Tanque,,,VMS 1,,Inseminación,02/10/2029 00:00,"Effective Insemination Artificial Insemination;
8403142490309; LIONEL; Sexed;
Unknown Brand; Matías",Matías,,0
20/01/2025 18:34,2,10:20,16.62,15:29,0,4.67,6.77,5.18,0,,Tanque,,,VMS 1,,Celo,02/10/2029 00:00,Se deja montar,Matías,,0
20/01/2025 23:23,3,07:22,11.44,04:38,4.91,1.79,2.8,1.94,0,DI,Tanque,,,VMS 1,,Invitación Visita,02/10/2005 00:00,PG1 Becerras (edad en dias 400- 407),DR  RAFA (,,0
21/01/2025 14:27,1,08:06,22.6,14:56,4.31,5.1,7.36,5.83,0,,Tanque,,,VMS 1,,Celo,02/09/2017 00:00,Se deja montar,Matías,NO LE TOCA,0
22/01/2025 01:05,1,06:41,13.69,10:29,2.35,3.21,4.48,3.65,0,,Tanque,,,VMS 1,,Peso,02/09/2006 00:00,370 kg,DelproClien,ALTURA DE 139.5 CM A LA GRUPA,0
22/01/2025 13:10,2,07:03,18.9,11:58,3.45,4.22,6.3,4.93,0,,Tanque,,,VMS 1,,Celo,02/08/2030 00:00,Se deja montar,Matías,NO LE TOCA,0
22/01/2025 22:59,3,09:09,15.53,09:42,3.01,3.55,5.04,3.93,0,,Tanque,,,VMS 1,,Peso,02/06/2029 00:00,304 kg,User1,altura de 136.5,0
23/01/2025 10:33,1,06:35,17.84,11:25,3.6,4.14,5.56,4.54,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/05/2017 00:00,"Dns: LEPTOFERM 5; Loc.: DD; Trat: LEPTOFERM 5; Med: LEPTOFERM 5
1 d 1X2ml",User1,,0
23/01/2025 19:16,2,05:55,13.41,08:36,2.66,3.09,4.23,3.43,0,,Tanque,,,VMS 1,,Entrada,02/08/2029 00:00,Nacimiento,DelproClien,,0
24/01/2025 05:21,1,05:42,13.17,09:58,0,3.75,5.14,4.28,0,,Tanque,,,VMS 1,,Control de Gest,02/09/2018 00:00,+,User1,cargada de 46,1
24/01/2025 12:16,2,09:04,13.91,06:49,4.59,2.74,3.68,2.9,0,,Tanque,,,VMS 1,,Invitación Visita,02/09/2018 00:00,"18/09/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (,,1
25/01/2025 03:18,1,09:41,22.39,14:53,4.41,4.7,7.4,5.88,0,,Tanque,,,VMS 1,,Inseminación,02/08/2003 00:00,"Effective Insemination Artificial Insemination; HOCANM12857690; PURSUIT;
Unknown Brand; Roma",Roma,ml tur,1
25/01/2025 11:17,2,05:12,13.75,07:49,2.6,3.26,4.39,3.5,0,,Tanque,,,VMS 1,,Celo,02/08/2003 00:00,Herd Navigator,Roma,,1
25/01/2025 21:12,3,07:36,16.08,09:49,2.99,3.7,5.21,4.18,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/07/2024 00:00,Dns: Protocolo sincronizacion; Loc.: DD; Trat: CIDR; Med:,User1,,1
26/01/2025 05:53,1,08:59,14.27,08:33,2.75,3.34,4.47,3.71,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/07/2017 00:00,Dns: Cuerpo lúteo derecho; Loc.: DD; Trat: PG2; Med:,User1,,1
26/01/2025 18:58,2,06:40,19.91,12:55,3.87,4.53,6.26,5.25,0,,Tanque,,,VMS 1,,Control de Gest,02/07/2010 00:00,-,User1,VACIA DE 42 POST. INSEM,1
27/01/2025 01:29,1,05:14,8.09,06:25,1.61,1.84,2.58,2.06,0,,Tanque,,,VMS 1,,Invitación Visita,02/07/2010 00:00,"10/07/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (,,1
27/01/2025 21:34,2,07:39,20.47,19:59,4.05,4.69,6.36,5.37,0,,Tanque,,,VMS 1,,Inseminación,02/05/2029 00:00,"Artificial Insemination; HAYK HPP SELECTS; HO8403214541122;
Unknown Brand; Roma",Roma,tur ml,1
28/01/2025 08:07,1,06:32,11.21,10:25,2.23,2.53,3.58,2.87,0,,Tanque,,,VMS 1,,Celo,02/05/2029 00:00,Herd Navigator,Roma,,1
28/01/2025 16:41,2,06:52,10.73,08:27,2.26,2.47,3.26,2.74,0,,Tanque,,,VMS 1,,Invitación Visita,02/05/2029 00:00,"29/05/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (,,1
29/01/2025 03:38,1,08:22,16.48,10:49,3.34,3.73,4.89,4.52,0,,Tanque,,,VMS 1,,Inseminación,02/04/2018 00:00,"Artificial Insemination; HO8403245812149; HAVENFUN-
RED; Unknown Brand; Jose Zapatero",Jose Zapat,MOCO TURBIO,1
29/01/2025 17:50,2,07:54,21.28,14:03,4.4,4.88,6.68,5.32,0,,Tanque,,,VMS 1,,Celo,02/04/2018 00:00,Herd Navigator,Jose Zapat,,1
30/01/2025 03:49,1,05:40,13.16,09:51,2.8,2.98,4.13,3.25,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/04/2010 00:00,Dns: Vacia; Loc.: DD; Trat: PG2; Med:,User1,,1
30/01/2025 14:02,2,07:06,16.02,10:07,3.28,3.65,5.17,3.92,0,,Tanque,,,VMS 1,,Control de Gest,02/04/2010 00:00,-,User1,vacia de 36 post. insem,1
31/01/2025 00:55,1,06:04,16.5,10:45,3.26,3.79,5.33,4.12,0,,Tanque,,,VMS 1,,Cambio tabla ali,02/03/2029 00:00,primerizas-DEL -> Primerizas- ProduccionLeche,Admin,,1
31/01/2025 09:15,2,07:17,12.79,08:14,2.63,3.06,3.93,3.17,0,,Tanque,,,VMS 1,,Cambio de grup,02/03/2005 00:00,"3, VMS 3 -> 1, VMS 1",User1,,1
31/01/2025 16:07,3,05:54,10.79,06:44,2.21,2.49,3.44,2.65,0,,Tanque,,,VMS 1,,Inseminación,02/03/2005 00:00,"Artificial Insemination; 8403214324421; HIGH OOHM;
Unknown Brand; Roma",Roma,ML,1
01/02/2025 09:02,1,08:27,23.61,16:49,4.6,5.36,7.44,6.21,0,,Tanque,,,VMS 1,,Celo,02/03/2005 00:00,Herd Navigator,Roma,,1
01/02/2025 16:02,2,05:09,10.14,06:51,2.07,2.36,3.15,2.56,0,,Tanque,,,VMS 1,,Invitación Visita,02/01/2023 00:00,"23/01/2025, Vacas frescas",DR  RAFA (,,1
01/02/2025 21:08,3,04:09,7.24,05:01,1.41,1.64,2.3,1.89,0,,Tanque,,,VMS 1,,Invitación Visita,02/01/2009 00:00,"09/01/2025, Vacas frescas",DR  RAFA (,,1
02/02/2025 11:50,1,09:03,20.56,14:37,4.06,4.76,6.36,5.38,0,,Tanque,,,VMS 1,,Cambio de grup,02/01/2007 00:00,"1, VMS 1 -> 3, VMS 3",User1,,1
02/02/2025 18:30,2,05:08,8.18,06:30,0,2.42,3.16,2.6,0,,Tanque,,,VMS 1,,Invitación Visita,02/01/2002 00:00,"02/01/2025, Vacas frescas",DR  RAFA (,,1
03/02/2025 09:29,1,07:06,22.83,14:54,4.97,5.04,6.98,5.84,0,,Tanque,,,VMS 1,,Invitación Visita,02/12/2019 00:00,"19/12/2024, Vacas frescas",DR  RAFA (,,1
03/02/2025 22:03,2,06:21,17.82,12:26,3.2,4.12,5.89,4.61,0,,Tanque,,,VMS 1,,Cambio de grup,02/12/2011 00:00,"3, VMS 3 -> 1, VMS 1",User1,,1
04/02/2025 13:38,1,08:16,24.16,15:28,4.63,5.43,7.86,6.24,0,,Tanque,,,VMS 1,,Cambio tabla ali,02/12/2010 00:00,None -> primerizas-DEL,Admin,,1
04/02/2025 21:54,2,05:46,10.2,08:07,2.04,2.33,3.28,2.55,0,,Tanque,,,VMS 1,,Cambio de grup,02/12/2009 00:00,"20, RETO -> 3, VMS 3",User1,,1
05/02/2025 07:22,1,06:38,15.61,09:22,3.12,3.71,4.92,3.86,0,,Tanque,,,VMS 1,,Parto,02/12/2008 00:00,Normal; 7364,User1,,1
05/02/2025 16:40,2,05:34,16.11,09:11,3.09,3.65,5.15,4.22,0,,Tanque,,,VMS 1,,Cambio ID Tran,02/11/2025 00:00,-> 982000464364485,,,0
06/02/2025 02:08,1,06:02,15.87,09:22,3.19,3.6,5.15,3.93,0,,Tanque,,,VMS 1,,Condición corpo,02/11/2025 00:00,Condición corporal: 3.50 - DDUP: 0,User1,,0
06/02/2025 10:35,2,05:30,14.66,08:21,2.93,3.43,4.57,3.73,0,,Tanque,,,VMS 1,,Cambio de grup,02/11/2025 00:00,"100, SECAS -> 20, RETO",User1,,0
06/02/2025 18:57,3,05:38,13.83,08:16,2.7,3.28,4.41,3.44,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/11/2025 00:00,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,5530,0
07/02/2025 01:53,1,04:52,12.44,06:49,2.41,2.91,3.92,3.2,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/11/2025 00:00,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med:",User1,,0
07/02/2025 08:50,2,04:54,13.06,06:52,2.52,2.87,4.44,3.23,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/11/2025 00:00,"Dns: VACUNA; Loc.: DD; Trat:
starvacc; Med: STARVAC 1 d 1X2ml Intramuscular",User1,,0
07/02/2025 23:59,1,08:02,23.4,15:03,4.68,5.01,7.43,6.28,0,,Tanque,,,VMS 1,,Cambio de grup,02/10/2017 00:00,"106, BECERRAS/NOVILLAS -> 100, SECAS",User1,,0
08/02/2025 06:08,2,04:51,10.42,06:01,2.16,2.41,3.25,2.6,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/10/2017 00:00,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med:,User1,,0
08/02/2025 14:03,3,06:48,12.97,07:50,2.69,2.95,4.03,3.3,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/10/2017 00:00,"Dns: VACUNA; Loc.: DD; Trat:
starvacc; Med: STARVAC 1 d 1X2ml Intramuscular",User1,,0
08/02/2025 23:35,4,05:50,15.4,09:24,3.13,3.45,4.94,3.88,0,,Tanque,,,VMS 1,,Control de Gest,02/08/2008 00:00,+,User1,CARGADA DE 151,0
09/02/2025 10:39,1,06:46,19.09,10:58,3.83,4.38,5.92,4.96,0,,Tanque,,,VMS 1,,Invitación Visita,02/08/2008 00:00,Reconfirmacion 2 (150-160 dias),DR  RAFA (,,0
09/02/2025 19:36,2,05:44,14.51,08:50,2.97,3.33,4.52,3.69,0,,Tanque,,,VMS 1,,Invitación Visita,02/06/2027 00:00,Reconfirmacion 1 (90-110 dias),DR  RAFA (,,0
10/02/2025 02:34,1,05:31,11.82,06:51,2.37,2.72,3.72,3.01,0,,Tanque,,,VMS 1,,Invitación Visita,02/06/2020 00:00,Reconfirmacion 1 (90-110 dias),DR  RAFA (,,0
10/02/2025 07:43,2,05:21,8.29,05:03,1.68,1.95,2.57,2.09,0,,Tanque,,,VMS 1,,Control de Gest,02/06/2013 00:00,+,User1,,0
10/02/2025 15:09,3,05:39,12.17,07:20,2.41,2.76,3.86,3.14,0,,Tanque,,,VMS 1,,Invitación Visita,02/06/2013 00:00,Reconfirmacion 1 (90-110 dias),DR  RAFA (,,0
10/02/2025 22:19,4,06:14,11.64,07:04,2.32,2.58,3.72,3.02,0,,Tanque,,,VMS 1,,Control de Gest,02/04/2018 00:00,+,User1,CARGADA DE 39 POST. INSEM,0
11/02/2025 09:42,1,06:47,18.59,11:16,3.58,4.53,5.94,4.54,0,,Tanque,,,VMS 1,,Inseminación,02/03/2010 00:00,"Effective Insemination Artificial Insemination;
HO8403215568705; MONRAKER;
Unknown Brand; Matías",Matías,,0
11/02/2025 17:18,2,05:17,13,07:29,2.61,3.1,4.01,3.28,0,,Tanque,,,VMS 1,,Celo,02/03/2010 00:00,Otros,Matías,,0
12/02/2025 00:05,1,05:33,11.98,06:41,2.42,2.71,3.73,3.12,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/03/2007 00:00,Dns: Protocolo sincronizacion; Loc.: DD; Trat: RETIRO DEL CIDR; Med:,User1,,0
12/02/2025 09:26,2,06:13,17.59,09:15,3.63,3.93,5.54,4.49,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/02/2029 00:00,Dns: Vacia; Loc.: DD; Trat: CIDR; Med:,User1,,0
12/02/2025 17:27,3,05:32,13.3,07:55,2.73,3.13,4.15,3.29,0,,Tanque,,,VMS 1,,Aborto,02/02/2029 00:00,Generado automáticamente por comprobación de preñez(-),User1,salio vacia a los 93 (en la segunda recorfirmacion),0
12/02/2025 22:53,4,06:05,9.9,05:20,1.97,2.28,3.08,2.57,0,,Tanque,,,VMS 1,,Invitación Visita,02/02/2029 00:00,Reconfirmacion 1 (90-110 dias),DR  RAFA (,,0
13/02/2025 07:20,1,05:31,14.89,08:20,3.07,3.33,4.72,3.77,0,,Tanque,,,VMS 1,,Control de Gest,02/01/2004 00:00,+,User1,,0
13/02/2025 14:47,2,06:38,11.7,07:21,2.42,2.71,3.64,2.93,0,,Tanque,,,VMS 1,,Peso,02/12/2006 00:00,341 kg,DelproClien,Talla: 136 cm,0
14/02/2025 08:53,1,07:28,22.43,18:00,4.53,5.13,6.96,5.81,0,,Tanque,,,VMS 1,,Inseminación,02/11/2028 00:00,"Effective Insemination Artificial Insemination;
8403205704083; LEXUS; Unknown
Brand; Matías",Matías,,0
14/02/2025 15:25,2,05:10,7.43,06:24,1.42,1.72,2.35,1.94,0,,Tanque,,,VMS 1,,Celo,02/11/2028 00:00,Se deja montar,Matías,,0
14/02/2025 21:26,3,06:32,7.35,05:55,1.41,1.66,2.33,1.95,0,,Tanque,,,VMS 1,,Inseminación,02/11/2011 00:00,"Artificial Insemination; 8403142490309; LIONEL; Sexed;
Unknown Brand; Alfredo",Alfredo,NO TUR,0
15/02/2025 08:38,1,06:06,17.84,11:05,3.56,4.03,5.69,4.56,0,,Tanque,,,VMS 1,,Celo,02/11/2011 00:00,Herd Navigator,Alfredo,,0
15/02/2025 17:46,2,05:31,13.9,09:02,2.81,3.06,4.59,3.44,0,,Tanque,,,VMS 1,,Control de Gest,02/11/2009 00:00,-,DelproClien,,0
16/02/2025 02:24,1,06:15,9.13,08:32,2.68,3,0,3.45,0,,Tanque,,,VMS 1,,Invitación Visita,02/11/2009 00:00,Diagnostico de Gestacion (>40 dias insem),DR  RAFA (,,0
16/02/2025 09:01,2,06:54,13.57,06:30,1.98,2.32,6.82,2.45,0,,Tanque,,,VMS 1,,Inseminación,02/09/2030 00:00,"Artificial Insemination; 8403224809684; CUMULUS;
Unknown Brand; Matías",Matías,,0
16/02/2025 16:06,3,05:05,10.25,06:58,2.16,2.44,3.09,2.56,0,,Tanque,,,VMS 1,,Celo,02/09/2030 00:00,Se deja montar,Matías,,0
17/02/2025 07:20,1,10:05,22.39,15:08,4.46,5.24,6.72,5.97,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/09/2028 00:00,"Dns: Presynch; Loc.: DD; Trat: PG X1; Med: LUTALYSE 1 d 1X5ml
Intramuscular",DelproClien,,0
17/02/2025 15:47,2,05:09,12.17,08:17,2.43,2.87,3.67,3.2,0,,Tanque,,,VMS 1,,Invitación Visita,02/09/2028 00:00,PG1 Becerras (edad en dias 400- 407),DR  RAFA (,,0
17/02/2025 23:36,3,05:26,12.73,07:43,2.56,2.81,3.95,3.41,0,,Tanque,,,VMS 1,,Peso,02/09/2006 00:00,305 kg,DelproClien,ALTURA DE 131 CM A LA GRUPA,0
18/02/2025 10:36,1,06:24,18.26,10:55,3.66,4.26,5.5,4.84,0,,Tanque,,,VMS 1,,Entrada,02/08/2021 00:00,Nacimiento,DelproClien,,0
18/02/2025 18:06,2,04:29,9.82,07:23,1.99,2.23,3.01,2.59,0,,Tanque,,,VMS 1,,Inseminación,02/08/2031 00:00,"Artificial Insemination; HO84m3212874372; COOKIECUTTER HOKYSMOKES;
Unknown Brand; Roma",Roma,NO TUR,1
19/02/2025 01:20,1,05:03,11.8,07:09,2.25,2.72,3.62,3.21,0,,Tanque,,,VMS 1,,Celo,02/08/2031 00:00,Herd Navigator,Roma,,1
19/02/2025 09:11,2,05:19,13.81,07:46,2.71,3.12,4.31,3.67,0,,Tanque,,,VMS 1,,Control de Gest,02/08/2021 00:00,-,User1,VACIA DE 50 POST. INSEM,1
19/02/2025 16:07,3,05:07,11.69,06:49,2.33,2.69,3.72,2.95,0,,Tanque,,,VMS 1,,Invitación Visita,02/08/2021 00:00,"21/08/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (,,1
19/02/2025 22:47,4,05:21,11.5,06:34,2.27,2.52,3.67,3.04,0,,Tanque,,,VMS 1,,Cambio de grup,02/07/2030 00:00,"2, VMS 2 -> 3, VMS 3",User1,,1
20/02/2025 07:27,1,06:36,15.56,08:34,3.1,3.51,4.83,4.12,0,,Tanque,,,VMS 1,,Inseminación,02/07/2002 00:00,Artificial Insemination; 2406261; FETILITY; Unknown Brand; Roma,Roma,de calor tur,1
